Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
13336267,The Color Purple,Alice Walker,"Walker, Alice",,"=""""","=""""",0,4.23,Orion,Kindle Edition,308,2011,1982,,2021/01/18,,,read,,,,1,,,0,,,,,
40965121,How to Win Friends and Influence People,Dale Carnegie,"Carnegie, Dale",,"=""""","=""""",0,4.21,Bibliotheka,Kindle Edition,225,2018,1936,,2021/01/18,,,read,,,,1,,,0,,,,,
35113385,The Picture of Dorian Gray,Oscar Wilde,"Wilde, Oscar",,"=""""","=""""",0,4.09,AmazonClassics,Kindle Edition,252,2017,1890,,2021/01/18,,,read,,,,1,,,0,,,,,
17728412,The Phantom of the Opera,Gaston Leroux,"Leroux, Gaston",,"=""""","=""""",0,3.96,,Kindle Edition,285,2012,1909,,2021/01/18,,,read,,,,1,,,0,,,,,
18626814,Emma,Jane Austen,"Austen, Jane",,"=""""","=""""",0,4.01,,Kindle Edition,514,2012,1815,,2021/01/18,,,read,,,,1,,,0,,,,,
37826561,Educated,Tara Westover,"Westover, Tara",,"=""""","=""""",0,4.46,Cornerstone Digital,Kindle Edition,382,2018,2018,,2021/01/18,,,read,,,,1,,,0,,,,,
35617772,Anne of Green Gables,L.M. Montgomery,"Montgomery, L.M.",,"=""""","=""""",0,4.26,AmazonClassics,Kindle Edition,161,2017,1908,,2021/01/18,,,read,,,,1,,,0,,,,,
39077952,Mrs Dalloway,Virginia Woolf,"Woolf, Virginia",,"=""""","=""""",0,3.79,Wisehouse Classics,Kindle Edition,214,2018,1925,,2021/01/18,,,read,,,,1,,,0,,,,,
53321665,"Mistborn: The Final Empire (Mistborn, #1)",Brandon Sanderson,"Sanderson, Brandon",,"=""""","=""""",0,4.44,Tor Books,Kindle Edition,676,2010,2006,,2021/01/18,,,read,,,,1,,,0,,,,,
54191640,"The Well of Ascension (Mistborn, #2)",Brandon Sanderson,"Sanderson, Brandon",,"=""""","=""""",0,4.35,Tor Books,Kindle Edition,815,2010,2007,,2021/01/18,,,read,,,,1,,,0,,,,,
8176885,"The Hero of Ages (Mistborn, #3)",Brandon Sanderson,"Sanderson, Brandon",,"=""""","=""""",0,4.48,Tor Books,Kindle Edition,785,2010,2008,,2021/01/18,,,read,,,,1,,,0,,,,,
42140794,City of Girls,Elizabeth Gilbert,"Gilbert, Elizabeth",,"=""""","=""""",0,4.04,Riverhead Books,Kindle Edition,480,2019,2019,,2021/01/18,,,read,,,,1,,,0,,,,,
11072232,The Murder of Roger Ackroyd,Agatha Christie,"Christie, Agatha",,"=""""","=""""",0,4.24,HarperCollins,Kindle Edition,260,2010,1926,,2021/01/18,,,read,,,,1,,,0,,,,,
50823666,A Gentleman in Moscow,Amor Towles,"Towles, Amor",,"=""""","=""""",0,4.33,Cornerstone Digital,Kindle Edition,378,2017,2016,,2021/01/18,,,read,,,,1,,,0,,,,,
41601079,The Silent Patient,Alex Michaelides,"Michaelides, Alex",,"=""""","=""""",0,4.10,Orion,Kindle Edition,352,2019,2019,,2021/01/18,,,read,,,,1,,,0,,,,,
51003723,"Sword of Destiny (The Witcher, #0.7)",Andrzej Sapkowski,"Sapkowski, Andrzej",David French,"=""""","=""""",0,4.28,Gollancz,Kindle Edition,385,2015,1992,,2021/01/18,,,read,,,,1,,,0,,,,,
51583056,"Blood of Elves (The Witcher, #1)",Andrzej Sapkowski,"Sapkowski, Andrzej",,"=""""","=""""",0,4.10,Gollancz,Kindle Edition,324,2020,1994,,2021/01/18,,,read,,,,1,,,0,,,,,
53485266,"The Tower of the Swallow (The Witcher, #6)",Andrzej Sapkowski,"Sapkowski, Andrzej",David French,"=""""","=""""",0,4.27,Gollancz,Kindle Edition,444,2020,1997,,2021/01/18,,,read,,,,1,,,0,,,,,
17883464,"Time of Contempt (The Witcher, #4)",Andrzej Sapkowski,"Sapkowski, Andrzej",,"=""""","=""""",0,4.20,Gollancz ,Kindle Edition,337,2013,1995,,2021/01/18,,,read,,,,1,,,0,,,,,
53485250,"Baptism of Fire (The Witcher, #5)",Andrzej Sapkowski,"Sapkowski, Andrzej",,"=""""","=""""",0,4.29,Gollancz,Kindle Edition,344,2020,1996,,2021/01/18,,,read,,,,1,,,0,,,,,
53485286,"Lady of the Lake (The Witcher, #7)",Andrzej Sapkowski,"Sapkowski, Andrzej",David French,"=""""","=""""",0,4.17,Gollancz,Kindle Edition,540,2020,1999,,2021/01/18,,,read,,,,1,,,0,,,,,
45722889,The Dutch House,Ann Patchett,"Patchett, Ann",,"=""""","=""""",0,4.11,Bloomsbury Publishing,Kindle Edition,352,2019,2019,,2021/01/18,,,read,,,,1,,,0,,,,,
44285117,The Dressmaker's Gift,Fiona Valpy,"Valpy, Fiona",,"=""""","=""""",0,4.22,Lake Union Publishing,Kindle Edition,286,2019,2019,,2021/01/18,,,read,,,,1,,,0,,,,,
11783190,"The Alloy of Law (Mistborn, #4)",Brandon Sanderson,"Sanderson, Brandon",,"=""""","=""""",0,4.20,Tor Books,Kindle Edition,333,2011,2011,,2021/01/18,,,read,,,,1,,,0,,,,,
